Distance (mètres), Puissance (mW),Perte(dBm)
5,49886.724434,-5.06134993588272
10,12246.464412,-11.1610925787267
15,2877.081505,-17.4516781743909
20,1563.481864,-20.1002713475552
25,662.472659,-23.8295202350437
30,305.198522,-27.1953755654739
35,2986.746014,-17.2892168988379
40,972.52737,-22.1621815006414
45,4353.698343,-15.6526164809991
50,4090.901124,-15.9230099981366
55,1955.694473,-19.1281897425661
60,123.444446,-31.1264842768172
65,4804.84956,-15.2244018821321
70,12656.157527,-11.0181811094914
75,5295.80634,-14.8018788745675
80,7212.649211,-13.4602517197309
85,3898.599824,-16.132113238075
90,3779.157752,-16.267249617648
95,10827.164376,-11.6960525244849
100,6893.629204,-13.6567206288013
105,9374.140946,-12.3218850353682
110,6889.112176,-13.6595672619218
115,8265.275245,-12.8686266190584
120,16723.68036,-9.80788124376376
125,12119.606365,-11.2063146812966
130,99.673988,-32.0553814773455
135,6188.191265,-14.1255625422033
140,13228.239758,-10.8261792488169
145,27602.981966,-7.63163980973898
150,3217.670151,-16.9657846089876
155,11784.567091,-11.3280634941825
160,17031.715402,-9.7286159117573
165,11845.476684,-11.3056744042827
170,9515.2771,-12.2569854250281
175,13267.90643,-10.8131758259699
180,3135.849337,-17.0776479397559
185,2376.337224,-18.2821191161181
190,24418.403474,-8.16402717195229
195,13287.162644,-10.8068773155612
200,4003.604092,-16.0166885819452
205,7.857731,-43.0882282547656
210,98.580564,-32.1032868414066
215,5988.90978,-14.2677221195664
220,16901.982674,-9.76182330475838
225,4675.929584,-15.3425202026674
230,16602.892375,-9.83936229972496
235,9067.780328,-12.4661899209834
240,3339.215263,-16.8047556584185
245,57.368664,-34.4544524649466
250,2074.552048,-18.8719564743134
255,6519.721175,-13.8989095973815
260,2969.700887,-17.3140727396739
265,12292.043528,-11.1449589316589
270,0,-100
275,578.491421,-24.4182305988672
280,20669.956885,-8.88780411912822
285,8921.79197,-12.5366789010477
290,25078.376566,-8.04820563385918
295,0.000378,-86.266281828187
300,254.034078,-27.9922800267131
305,0,-100
310,7.1031,-43.526720537867
315,1386.511949,-20.6219636596354
320,0.52174,-54.8666584880236
325,2663.307283,-17.7869870596073
330,2212.439322,-18.5924861401236
335,13905.379285,-10.6093714341935
340,2168.450021,-18.6797056578795
345,0,-100
350,320.328122,-26.9852491507141
355,5704.437377,-14.4790716582344
360,222.680886,-28.5643704205199
365,155.25545,-30.1307312831048
370,7436.031125,-13.3277878372558
375,1444.692661,-20.443445160674
380,116.461251,-31.3793853176732
385,262.649778,-27.8474294459624
390,7631.347291,-13.2151876457089
395,5223.838126,-14.8613027190694
400,62.169243,-34.1054440341588
405,138.279792,-30.6336126504937
410,3001.521307,-17.2677855201228
415,221.006738,-28.597144681038
420,2.554855,-47.9675372573386
425,653.18575,-23.8908328112264
430,3163.803897,-17.0391042600038
435,15.058067,-40.2635075747875
440,7.94443,-43.0405723992122
445,168.055164,-29.7866812064217
450,1.85182,-49.3652121240822
455,6.326383,-44.0296450203931
460,3293.292765,-16.8648964259924
465,0,-100
470,3382.345063,-16.7490207090445
475,0,-100
480,0,-100
485,6917.405279,-13.6417676165743
490,7808.300897,-13.1156344190753
495,10.431754,-41.8576264561224
500,7958.987131,-13.0326218017032
505,2105.96043,-18.8066977591761
510,1.351536,-50.7329236444277
515,0.049306,-65.1122021128258
520,804.009638,-22.9885872780657
525,1854.177287,-19.3596872583301
530,0.053924,-64.7233788263208
535,1017.334549,-21.9665618913107
540,44.182681,-35.5886791738173
545,95.477804,-32.2421756102722
550,1778.387813,-19.5409350910365
555,51.659505,-34.9096974219684
560,8900.617677,-12.5469983619029
565,0.18106,-59.4629746662145
570,0,-100
575,0.51852,-54.8935447029707
580,0,-100
585,0,-100
590,1.583314,-50.045529307473
595,2.578868,-47.9269086942017
600,0.04154,-65.8565349045685
